frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,laneId,t,t1
6482,323,42.93,22.95,4.35,1.82,31.09,0.04,-0.42,-0.13,5,1.16,1.16
6483,323,44.17,22.95,4.35,1.82,31.07,0.03,-0.45,-0.13,5,1.2,1.2
6484,323,45.41,22.95,4.35,1.82,31.05,0.02,-0.47,-0.13,5,1.24,1.24
6485,323,46.65,22.95,4.35,1.82,31.04,0.02,-0.5,-0.13,5,1.28,1.28
6486,323,47.88,22.95,4.35,1.82,31.02,0.01,-0.52,-0.13,5,1.32,1.32
6487,323,49.12,22.95,4.35,1.82,31.0,0.0,-0.55,-0.13,5,1.36,1.36
6488,323,50.35,22.95,4.35,1.82,30.97,-0.0,-0.58,-0.13,5,1.4000000000000001,1.4000000000000001
6489,323,51.58,22.95,4.35,1.82,30.95,-0.01,-0.6,-0.13,5,1.44,1.44
6490,323,52.81,22.95,4.35,1.82,30.93,-0.02,-0.63,-0.13,5,1.48,1.48
6491,323,54.04,22.95,4.35,1.82,30.9,-0.02,-0.66,-0.13,5,1.52,1.52
6492,323,55.26,22.95,4.35,1.82,30.88,-0.03,-0.69,-0.13,5,1.56,1.56
6493,323,56.49,22.94,4.35,1.82,30.85,-0.04,-0.72,-0.13,5,1.6,1.6
6494,323,57.73,22.94,4.35,1.82,30.82,-0.04,-0.76,-0.13,5,1.6400000000000001,1.6400000000000001
6495,323,58.97,22.94,4.35,1.82,30.79,-0.05,-0.79,-0.13,5,1.68,1.68
6496,323,60.2,22.94,4.35,1.82,30.76,-0.06,-0.82,-0.12,5,1.72,1.72
6497,323,61.45,22.94,4.35,1.82,30.73,-0.06,-0.86,-0.12,5,1.76,1.76
6498,323,62.68,22.93,4.35,1.82,30.69,-0.07,-0.9,-0.12,5,1.8,1.8
6499,323,63.91,22.93,4.35,1.82,30.66,-0.08,-0.93,-0.12,5,1.84,1.84
6500,323,65.15,22.93,4.35,1.82,30.62,-0.08,-0.97,-0.12,5,1.8800000000000001,1.8800000000000001
6501,323,66.38,22.93,4.35,1.82,30.58,-0.09,-1.01,-0.12,5,1.92,1.92
6502,323,67.61,22.92,4.35,1.82,30.54,-0.09,-1.05,-0.11,5,1.96,1.96
6503,323,68.83,22.92,4.35,1.82,30.5,-0.1,-1.09,-0.11,5,2.0,2.0
6504,323,70.04,22.91,4.35,1.82,30.46,-0.11,-1.13,-0.11,5,2.04,2.04
6505,323,71.26,22.91,4.35,1.82,30.41,-0.11,-1.17,-0.1,5,2.08,2.08
6506,323,72.46,22.9,4.35,1.82,30.37,-0.12,-1.21,-0.1,5,2.12,2.12
6507,323,73.67,22.9,4.35,1.82,30.32,-0.12,-1.25,-0.1,5,2.16,2.16
6508,323,74.89,22.89,4.35,1.82,30.27,-0.13,-1.29,-0.09,5,2.2,2.2
6509,323,76.1,22.89,4.35,1.82,30.22,-0.13,-1.34,-0.09,5,2.24,2.24
6510,323,77.33,22.88,4.35,1.82,30.16,-0.14,-1.38,-0.09,5,2.2800000000000002,2.2800000000000002
6511,323,78.54,22.87,4.35,1.82,30.11,-0.14,-1.43,-0.08,5,2.32,2.32
6512,323,79.76,22.87,4.35,1.82,30.05,-0.14,-1.47,-0.08,5,2.36,2.36
6513,323,80.98,22.86,4.35,1.82,29.99,-0.15,-1.52,-0.07,5,2.4,2.4
6514,323,82.2,22.86,4.35,1.82,29.93,-0.15,-1.56,-0.07,5,2.44,2.44
6515,323,83.41,22.85,4.35,1.82,29.87,-0.15,-1.61,-0.07,5,2.48,2.48
6516,323,84.63,22.84,4.35,1.82,29.8,-0.16,-1.65,-0.06,5,2.52,2.52
6517,323,85.84,22.83,4.35,1.82,29.74,-0.16,-1.7,-0.06,5,2.56,2.56
6518,323,87.04,22.83,4.35,1.82,29.67,-0.16,-1.74,-0.05,5,2.6,2.6
6519,323,88.24,22.82,4.35,1.82,29.6,-0.16,-1.79,-0.05,5,2.64,2.64
6520,323,89.44,22.81,4.35,1.82,29.53,-0.16,-1.83,-0.05,5,2.68,2.68
6521,323,90.63,22.81,4.35,1.82,29.45,-0.17,-1.88,-0.04,5,2.72,2.72
6522,323,91.83,22.8,4.35,1.82,29.38,-0.17,-1.92,-0.04,5,2.7600000000000002,2.7600000000000002
6523,323,93.03,22.79,4.35,1.82,29.3,-0.17,-1.96,-0.04,5,2.8000000000000003,2.8000000000000003
6524,323,94.23,22.78,4.35,1.82,29.22,-0.17,-2.0,-0.03,5,2.84,2.84
6525,323,95.42,22.78,4.35,1.82,29.14,-0.17,-2.04,-0.03,5,2.88,2.88
6526,323,96.59,22.77,4.35,1.82,29.06,-0.17,-2.08,-0.02,5,2.92,2.92
6527,323,97.77,22.76,4.35,1.82,28.98,-0.17,-2.11,-0.02,5,2.96,2.96
6528,323,98.94,22.76,4.35,1.82,28.89,-0.17,-2.15,-0.02,5,3.0,3.0
6529,323,100.11,22.75,4.35,1.82,28.8,-0.17,-2.18,-0.02,5,3.04,3.04
6530,323,101.28,22.74,4.35,1.82,28.72,-0.17,-2.21,-0.01,5,3.08,3.08
6531,323,102.44,22.74,4.35,1.82,28.63,-0.17,-2.24,-0.01,5,3.12,3.12
6532,323,103.6,22.73,4.35,1.82,28.54,-0.17,-2.27,-0.01,5,3.16,3.16
6533,323,104.75,22.72,4.35,1.82,28.45,-0.16,-2.29,-0.01,5,3.2,3.2
6534,323,105.89,22.72,4.35,1.82,28.35,-0.16,-2.32,-0.0,5,3.24,3.24
6535,323,107.03,22.71,4.35,1.82,28.26,-0.16,-2.34,-0.0,5,3.2800000000000002,3.2800000000000002
6536,323,108.16,22.7,4.35,1.82,28.16,-0.16,-2.35,-0.0,5,3.3200000000000003,3.3200000000000003
6537,323,109.29,22.69,4.35,1.82,28.07,-0.16,-2.37,0.0,5,3.36,3.36
6538,323,110.42,22.69,4.35,1.82,27.97,-0.16,-2.38,0.0,5,3.4,3.4
6539,323,111.54,22.68,4.35,1.82,27.88,-0.16,-2.39,0.0,5,3.44,3.44
6540,323,112.67,22.68,4.35,1.82,27.78,-0.15,-2.4,0.01,5,3.48,3.48
6541,323,113.78,22.67,4.35,1.82,27.68,-0.15,-2.41,0.01,5,3.52,3.52
6542,323,114.9,22.66,4.35,1.82,27.59,-0.15,-2.41,0.01,5,3.56,3.56
6543,323,116.0,22.66,4.35,1.82,27.49,-0.15,-2.41,0.01,5,3.6,3.6
6544,323,117.1,22.65,4.35,1.82,27.39,-0.15,-2.41,0.01,5,3.64,3.64
6545,323,118.2,22.65,4.35,1.82,27.29,-0.15,-2.41,0.01,5,3.68,3.68
6546,323,119.29,22.64,4.35,1.82,27.2,-0.15,-2.4,0.01,5,3.72,3.72
6547,323,120.36,22.64,4.35,1.82,27.1,-0.14,-2.39,0.01,5,3.7600000000000002,3.7600000000000002
6548,323,121.43,22.63,4.35,1.82,27.0,-0.14,-2.38,0.01,5,3.8000000000000003,3.8000000000000003
6549,323,122.51,22.63,4.35,1.82,26.91,-0.14,-2.36,0.01,5,3.84,3.84
6550,323,123.56,22.62,4.35,1.82,26.81,-0.14,-2.35,0.01,5,3.88,3.88
6551,323,124.62,22.61,4.35,1.82,26.72,-0.14,-2.33,0.01,5,3.92,3.92
6552,323,125.68,22.61,4.35,1.82,26.62,-0.14,-2.31,0.01,5,3.96,3.96
6553,323,126.73,22.6,4.35,1.82,26.53,-0.14,-2.28,0.0,5,4.0,4.0
6554,323,127.79,22.6,4.35,1.82,26.44,-0.14,-2.26,0.0,5,4.04,4.04
6555,323,128.84,22.59,4.35,1.82,26.35,-0.13,-2.23,0.0,5,4.08,4.08
6556,323,129.88,22.59,4.35,1.82,26.26,-0.13,-2.2,0.0,5,4.12,4.12
6557,323,130.91,22.58,4.35,1.82,26.17,-0.13,-2.17,-0.0,5,4.16,4.16
6558,323,131.95,22.58,4.35,1.82,26.08,-0.13,-2.13,-0.0,5,4.2,4.2
6559,323,132.97,22.57,4.35,1.82,25.99,-0.13,-2.1,-0.0,5,4.24,4.24
6560,323,133.99,22.57,4.35,1.82,25.91,-0.13,-2.06,-0.0,5,4.28,4.28
6561,323,135.01,22.56,4.35,1.82,25.83,-0.13,-2.02,-0.01,5,4.32,4.32
6562,323,136.03,22.56,4.35,1.82,25.74,-0.13,-1.98,-0.01,5,4.36,4.36
6563,323,137.04,22.55,4.35,1.82,25.66,-0.13,-1.94,-0.01,5,4.4,4.4
6564,323,138.05,22.55,4.35,1.82,25.59,-0.13,-1.9,-0.01,5,4.44,4.44
6565,323,139.06,22.55,4.35,1.82,25.51,-0.13,-1.86,-0.01,5,4.48,4.48
6566,323,140.07,22.54,4.35,1.82,25.44,-0.13,-1.81,-0.01,5,4.5200000000000005,4.5200000000000005
6567,323,141.07,22.54,4.35,1.82,25.36,-0.13,-1.77,-0.02,5,4.5600000000000005,4.5600000000000005
6568,323,142.07,22.53,4.35,1.82,25.29,-0.13,-1.72,-0.02,5,4.6000000000000005,4.6000000000000005
6569,323,143.07,22.53,4.35,1.82,25.22,-0.14,-1.67,-0.02,5,4.64,4.64
6570,323,144.07,22.52,4.35,1.82,25.15,-0.14,-1.63,-0.02,5,4.68,4.68
6571,323,145.07,22.52,4.35,1.82,25.09,-0.14,-1.58,-0.02,5,4.72,4.72
6572,323,146.07,22.51,4.35,1.82,25.03,-0.14,-1.53,-0.02,5,4.76,4.76
6573,323,147.06,22.51,4.35,1.82,24.96,-0.14,-1.48,-0.02,5,4.8,4.8
6574,323,148.05,22.5,4.35,1.82,24.91,-0.14,-1.43,-0.02,5,4.84,4.84
6575,323,149.03,22.49,4.35,1.82,24.85,-0.15,-1.38,-0.03,5,4.88,4.88
6576,323,150.02,22.49,4.35,1.82,24.79,-0.15,-1.33,-0.03,5,4.92,4.92
6577,323,151.0,22.48,4.35,1.82,24.74,-0.15,-1.28,-0.03,5,4.96,4.96
6578,323,151.98,22.48,4.35,1.82,24.69,-0.15,-1.23,-0.03,5,5.0,5.0
6579,323,152.95,22.47,4.35,1.82,24.64,-0.16,-1.17,-0.03,5,5.04,5.04
6580,323,153.92,22.46,4.35,1.82,24.59,-0.16,-1.12,-0.03,5,5.08,5.08
6581,323,154.9,22.46,4.35,1.82,24.55,-0.16,-1.07,-0.03,5,5.12,5.12
6582,323,155.87,22.45,4.35,1.82,24.5,-0.16,-1.02,-0.03,5,5.16,5.16
6583,323,156.83,22.45,4.35,1.82,24.46,-0.16,-0.97,-0.03,5,5.2,5.2
6584,323,157.8,22.44,4.35,1.82,24.43,-0.17,-0.92,-0.03,5,5.24,5.24
6585,323,158.78,22.43,4.35,1.82,24.39,-0.17,-0.86,-0.03,5,5.28,5.28
6586,323,159.74,22.43,4.35,1.82,24.35,-0.17,-0.81,-0.02,5,5.32,5.32
6587,323,160.71,22.42,4.35,1.82,24.32,-0.17,-0.76,-0.02,5,5.36,5.36
6588,323,161.67,22.41,4.35,1.82,24.29,-0.18,-0.71,-0.02,5,5.4,5.4
6589,323,162.64,22.41,4.35,1.82,24.26,-0.18,-0.66,-0.02,5,5.44,5.44
6590,323,163.6,22.4,4.35,1.82,24.24,-0.18,-0.62,-0.02,5,5.48,5.48
6591,323,164.58,22.39,4.35,1.82,24.21,-0.18,-0.57,-0.02,5,5.5200000000000005,5.5200000000000005
6592,323,165.54,22.38,4.35,1.82,24.19,-0.19,-0.52,-0.02,5,5.5600000000000005,5.5600000000000005
6593,323,166.51,22.37,4.35,1.82,24.17,-0.19,-0.47,-0.01,5,5.6000000000000005,5.6000000000000005
6594,323,167.47,22.37,4.35,1.82,24.15,-0.19,-0.42,-0.01,5,5.64,5.64
6595,323,168.43,22.36,4.35,1.82,24.13,-0.19,-0.38,-0.01,5,5.68,5.68
6596,323,169.38,22.35,4.35,1.82,24.12,-0.19,-0.33,-0.01,5,5.72,5.72
6597,323,170.34,22.34,4.35,1.82,24.11,-0.19,-0.29,-0.0,5,5.76,5.76
6598,323,171.3,22.33,4.35,1.82,24.1,-0.19,-0.24,-0.0,5,5.8,5.8
6599,323,172.25,22.33,4.35,1.82,24.09,-0.19,-0.2,0.0,5,5.84,5.84
6600,323,173.21,22.32,4.35,1.82,24.08,-0.19,-0.15,0.0,5,5.88,5.88
6601,323,174.16,22.31,4.35,1.82,24.07,-0.19,-0.11,0.01,5,5.92,5.92
6602,323,175.11,22.3,4.35,1.82,24.07,-0.19,-0.07,0.01,5,5.96,5.96
6603,323,176.06,22.29,4.35,1.82,24.07,-0.19,-0.03,0.01,5,6.0,6.0
6604,323,177.02,22.28,4.35,1.82,24.07,-0.19,0.01,0.01,5,6.04,6.04
6605,323,177.99,22.27,4.35,1.82,24.07,-0.19,0.04,0.02,5,6.08,6.08
6606,323,178.95,22.27,4.35,1.82,24.07,-0.19,0.08,0.02,5,6.12,6.12
6607,323,179.91,22.26,4.35,1.82,24.07,-0.19,0.12,0.02,5,6.16,6.16
6608,323,180.87,22.25,4.35,1.82,24.08,-0.19,0.15,0.02,5,6.2,6.2
6609,323,181.83,22.24,4.35,1.82,24.08,-0.18,0.18,0.03,5,6.24,6.24
6610,323,182.8,22.23,4.35,1.82,24.09,-0.18,0.22,0.03,5,6.28,6.28
6611,323,183.77,22.23,4.35,1.82,24.1,-0.18,0.25,0.03,5,6.32,6.32
6612,323,184.74,22.22,4.35,1.82,24.11,-0.18,0.28,0.03,5,6.36,6.36
6613,323,185.7,22.21,4.35,1.82,24.12,-0.17,0.31,0.03,5,6.4,6.4
6614,323,186.66,22.2,4.35,1.82,24.13,-0.17,0.33,0.03,5,6.44,6.44
6615,323,187.64,22.2,4.35,1.82,24.15,-0.17,0.36,0.04,5,6.48,6.48
6616,323,188.6,22.19,4.35,1.82,24.16,-0.17,0.38,0.04,5,6.5200000000000005,6.5200000000000005
6617,323,189.57,22.18,4.35,1.82,24.18,-0.16,0.41,0.04,5,6.5600000000000005,6.5600000000000005
6618,323,190.54,22.18,4.35,1.82,24.2,-0.16,0.43,0.04,5,6.6000000000000005,6.6000000000000005
6619,323,191.51,22.17,4.35,1.82,24.21,-0.16,0.46,0.04,5,6.640000000000001,6.640000000000001
6620,323,192.48,22.16,4.35,1.82,24.23,-0.15,0.48,0.04,5,6.68,6.68
6621,323,193.45,22.16,4.35,1.82,24.25,-0.15,0.5,0.04,5,6.72,6.72
6622,323,194.41,22.15,4.35,1.82,24.27,-0.15,0.52,0.04,5,6.76,6.76
6623,323,195.39,22.15,4.35,1.82,24.29,-0.15,0.53,0.04,5,6.8,6.8
6624,323,196.36,22.14,4.35,1.82,24.31,-0.14,0.55,0.04,5,6.84,6.84
6625,323,197.35,22.14,4.35,1.82,24.34,-0.14,0.57,0.04,5,6.88,6.88
6626,323,198.33,22.13,4.35,1.82,24.36,-0.14,0.58,0.04,5,6.92,6.92
6627,323,199.32,22.13,4.35,1.82,24.38,-0.14,0.6,0.04,5,6.96,6.96
6628,323,200.31,22.13,4.35,1.82,24.41,-0.14,0.61,0.04,5,7.0,7.0
6629,323,201.29,22.12,4.35,1.82,24.43,-0.13,0.63,0.04,5,7.04,7.04
6630,323,202.27,22.12,4.35,1.82,24.46,-0.13,0.64,0.03,5,7.08,7.08
6631,323,203.24,22.11,4.35,1.82,24.48,-0.13,0.65,0.03,5,7.12,7.12
6632,323,204.22,22.11,4.35,1.82,24.51,-0.13,0.66,0.03,5,7.16,7.16
6633,323,205.19,22.1,4.35,1.82,24.54,-0.13,0.67,0.03,5,7.2,7.2
6634,323,206.18,22.1,4.35,1.82,24.56,-0.13,0.68,0.03,5,7.24,7.24
6635,323,207.16,22.09,4.35,1.82,24.59,-0.13,0.69,0.03,5,7.28,7.28
6636,323,208.15,22.09,4.35,1.82,24.62,-0.13,0.7,0.03,5,7.32,7.32
6637,323,209.13,22.08,4.35,1.82,24.65,-0.13,0.71,0.03,5,7.36,7.36
6638,323,210.12,22.08,4.35,1.82,24.68,-0.13,0.71,0.03,5,7.4,7.4
6639,323,211.1,22.07,4.35,1.82,24.71,-0.13,0.72,0.03,5,7.44,7.44
6640,323,212.09,22.07,4.35,1.82,24.73,-0.13,0.73,0.03,5,7.48,7.48
6641,323,213.09,22.06,4.35,1.82,24.76,-0.13,0.73,0.03,5,7.5200000000000005,7.5200000000000005
6642,323,214.09,22.06,4.35,1.82,24.79,-0.13,0.74,0.03,5,7.5600000000000005,7.5600000000000005
6643,323,215.09,22.05,4.35,1.82,24.82,-0.13,0.74,0.04,5,7.6000000000000005,7.6000000000000005
6644,323,216.09,22.05,4.35,1.82,24.85,-0.12,0.74,0.04,5,7.640000000000001,7.640000000000001
6645,323,217.1,22.04,4.35,1.82,24.88,-0.12,0.75,0.04,5,7.68,7.68
6646,323,218.09,22.04,4.35,1.82,24.91,-0.12,0.75,0.04,5,7.72,7.72
6647,323,219.09,22.03,4.35,1.82,24.94,-0.12,0.75,0.04,5,7.76,7.76
6648,323,220.09,22.02,4.35,1.82,24.97,-0.12,0.75,0.04,5,7.8,7.8
6649,323,221.09,22.02,4.35,1.82,25.0,-0.12,0.75,0.04,5,7.84,7.84
6650,323,222.09,22.01,4.35,1.82,25.03,-0.12,0.75,0.04,5,7.88,7.88
6651,323,223.09,22.01,4.35,1.82,25.06,-0.11,0.75,0.04,5,7.92,7.92
6652,323,224.1,22.0,4.35,1.82,25.09,-0.11,0.75,0.04,5,7.96,7.96
6653,323,225.1,22.0,4.35,1.82,25.12,-0.11,0.75,0.04,5,8.0,8.0
6654,323,226.11,21.99,4.35,1.82,25.15,-0.11,0.75,0.04,5,8.040000000000001,8.040000000000001
6655,323,227.11,21.99,4.35,1.82,25.18,-0.1,0.75,0.04,5,8.08,8.08
6656,323,228.13,21.98,4.35,1.82,25.21,-0.1,0.75,0.04,5,8.120000000000001,8.120000000000001
6657,323,229.14,21.98,4.35,1.82,25.24,-0.1,0.75,0.05,5,8.16,8.16
6658,323,230.15,21.98,4.35,1.82,25.27,-0.1,0.74,0.05,5,8.2,8.2
6659,323,231.16,21.97,4.35,1.82,25.3,-0.09,0.74,0.05,5,8.24,8.24
6660,323,232.17,21.97,4.35,1.82,25.33,-0.09,0.74,0.05,5,8.28,8.28
6661,323,233.18,21.96,4.35,1.82,25.36,-0.09,0.73,0.05,5,8.32,8.32
6662,323,234.2,21.96,4.35,1.82,25.39,-0.09,0.73,0.04,5,8.36,8.36
6663,323,235.21,21.96,4.35,1.82,25.42,-0.08,0.73,0.04,5,8.4,8.4
6664,323,236.24,21.95,4.35,1.82,25.45,-0.08,0.72,0.04,5,8.44,8.44
6665,323,237.26,21.95,4.35,1.82,25.48,-0.08,0.72,0.04,5,8.48,8.48
6666,323,238.28,21.95,4.35,1.82,25.51,-0.08,0.71,0.04,5,8.52,8.52
6667,323,239.3,21.95,4.35,1.82,25.54,-0.07,0.71,0.04,5,8.56,8.56
6668,323,240.33,21.94,4.35,1.82,25.57,-0.07,0.7,0.04,5,8.6,8.6
6669,323,241.35,21.94,4.35,1.82,25.6,-0.07,0.7,0.04,5,8.64,8.64
6670,323,242.38,21.94,4.35,1.82,25.62,-0.07,0.69,0.04,5,8.68,8.68
6671,323,243.41,21.94,4.35,1.82,25.65,-0.07,0.68,0.04,5,8.72,8.72
6672,323,244.43,21.94,4.35,1.82,25.68,-0.06,0.68,0.04,5,8.76,8.76
6673,323,245.46,21.93,4.35,1.82,25.71,-0.06,0.67,0.04,5,8.8,8.8
6674,323,246.49,21.93,4.35,1.82,25.73,-0.06,0.66,0.04,5,8.84,8.84
6675,323,247.51,21.93,4.35,1.82,25.76,-0.06,0.65,0.03,5,8.88,8.88
6676,323,248.55,21.93,4.35,1.82,25.79,-0.06,0.65,0.03,5,8.92,8.92
6677,323,249.59,21.93,4.35,1.82,25.81,-0.06,0.64,0.03,5,8.96,8.96
6678,323,250.62,21.92,4.35,1.82,25.84,-0.06,0.63,0.03,5,9.0,9.0
6679,323,251.66,21.92,4.35,1.82,25.86,-0.06,0.62,0.03,5,9.040000000000001,9.040000000000001
6680,323,252.7,21.92,4.35,1.82,25.89,-0.06,0.61,0.03,5,9.08,9.08
6681,323,253.74,21.92,4.35,1.82,25.91,-0.06,0.6,0.03,5,9.120000000000001,9.120000000000001
6682,323,254.78,21.92,4.35,1.82,25.94,-0.06,0.6,0.03,5,9.16,9.16
6683,323,255.83,21.92,4.35,1.82,25.96,-0.06,0.59,0.03,5,9.200000000000001,9.200000000000001
6684,323,256.88,21.91,4.35,1.82,25.98,-0.06,0.58,0.03,5,9.24,9.24
6685,323,257.92,21.91,4.35,1.82,26.01,-0.06,0.57,0.03,5,9.28,9.28
6686,323,258.96,21.91,4.35,1.82,26.03,-0.06,0.56,0.03,5,9.32,9.32
6687,323,260.0,21.91,4.35,1.82,26.05,-0.06,0.55,0.03,5,9.36,9.36
6688,323,261.04,21.9,4.35,1.82,26.07,-0.06,0.54,0.03,5,9.4,9.4
6689,323,262.09,21.9,4.35,1.82,26.1,-0.06,0.54,0.03,5,9.44,9.44
6690,323,263.13,21.9,4.35,1.82,26.12,-0.06,0.53,0.03,5,9.48,9.48
6691,323,264.17,21.9,4.35,1.82,26.14,-0.06,0.52,0.04,5,9.52,9.52
6692,323,265.22,21.89,4.35,1.82,26.16,-0.06,0.51,0.04,5,9.56,9.56
6693,323,266.26,21.89,4.35,1.82,26.18,-0.05,0.5,0.04,5,9.6,9.6
6694,323,267.31,21.89,4.35,1.82,26.2,-0.05,0.49,0.04,5,9.64,9.64
6695,323,268.36,21.89,4.35,1.82,26.22,-0.05,0.49,0.04,5,9.68,9.68
6696,323,269.41,21.88,4.35,1.82,26.24,-0.05,0.48,0.04,5,9.72,9.72
6697,323,270.46,21.88,4.35,1.82,26.26,-0.05,0.47,0.04,5,9.76,9.76
6698,323,271.52,21.88,4.35,1.82,26.28,-0.05,0.46,0.05,5,9.8,9.8
6699,323,272.58,21.88,4.35,1.82,26.29,-0.05,0.45,0.05,5,9.84,9.84
6700,323,273.63,21.87,4.35,1.82,26.31,-0.05,0.45,0.05,5,9.88,9.88
6701,323,274.69,21.87,4.35,1.82,26.33,-0.04,0.44,0.05,5,9.92,9.92
6702,323,275.75,21.87,4.35,1.82,26.35,-0.04,0.43,0.05,5,9.96,9.96
6703,323,276.8,21.87,4.35,1.82,26.36,-0.04,0.43,0.05,5,10.0,10.0
6704,323,277.86,21.87,4.35,1.82,26.38,-0.04,0.42,0.06,5,10.040000000000001,10.040000000000001
6705,323,278.93,21.86,4.35,1.82,26.4,-0.03,0.41,0.06,5,10.08,10.08
6706,323,279.98,21.86,4.35,1.82,26.41,-0.03,0.41,0.06,5,10.120000000000001,10.120000000000001
6707,323,281.04,21.86,4.35,1.82,26.43,-0.03,0.4,0.06,5,10.16,10.16
6708,323,282.09,21.86,4.35,1.82,26.45,-0.02,0.4,0.06,5,10.200000000000001,10.200000000000001
6709,323,283.15,21.86,4.35,1.82,26.46,-0.02,0.39,0.06,5,10.24,10.24
6710,323,284.21,21.85,4.35,1.82,26.48,-0.02,0.39,0.06,5,10.28,10.28
6711,323,285.26,21.85,4.35,1.82,26.49,-0.01,0.38,0.06,5,10.32,10.32
6712,323,286.31,21.85,4.35,1.82,26.51,-0.01,0.38,0.06,5,10.36,10.36
6713,323,287.36,21.85,4.35,1.82,26.52,-0.01,0.37,0.06,5,10.4,10.4
6714,323,288.41,21.85,4.35,1.82,26.54,-0.0,0.37,0.07,5,10.44,10.44
6715,323,289.47,21.85,4.35,1.82,26.55,0.0,0.36,0.07,5,10.48,10.48
6716,323,290.53,21.85,4.35,1.82,26.57,0.01,0.36,0.07,5,10.52,10.52
6717,323,291.58,21.85,4.35,1.82,26.58,0.01,0.36,0.07,5,10.56,10.56
6718,323,292.64,21.85,4.35,1.82,26.6,0.01,0.35,0.07,5,10.6,10.6
6719,323,293.7,21.85,4.35,1.82,26.61,0.02,0.35,0.06,5,10.64,10.64
6720,323,294.76,21.85,4.35,1.82,26.62,0.02,0.34,0.06,5,10.68,10.68
6721,323,295.82,21.85,4.35,1.82,26.64,0.03,0.34,0.06,5,10.72,10.72
6722,323,296.88,21.86,4.35,1.82,26.65,0.03,0.33,0.06,5,10.76,10.76
6723,323,297.96,21.86,4.35,1.82,26.67,0.03,0.33,0.06,5,10.8,10.8
6724,323,299.04,21.86,4.35,1.82,26.68,0.04,0.32,0.06,5,10.84,10.84
6725,323,300.11,21.86,4.35,1.82,26.69,0.04,0.32,0.06,5,10.88,10.88
6726,323,301.19,21.86,4.35,1.82,26.7,0.05,0.31,0.06,5,10.92,10.92
6727,323,302.25,21.86,4.35,1.82,26.72,0.05,0.31,0.05,5,10.96,10.96
6728,323,303.32,21.87,4.35,1.82,26.73,0.05,0.3,0.05,5,11.0,11.0
6729,323,304.39,21.87,4.35,1.82,26.74,0.06,0.29,0.05,5,11.040000000000001,11.040000000000001
6730,323,305.46,21.87,4.35,1.82,26.75,0.06,0.29,0.05,5,11.08,11.08
